project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
camel,821ba0e28e4b13cc74cac31d7322c6650804b7fe,Add Class Annotation,Add Class Annotation @DisabledOnOs(OS.WINDOWS) in class org.apache.camel.component.beanstalk.ConsumerToProducerHeadersTest,36,org.apache.camel.component.beanstalk.ConsumerToProducerHeadersTest,original class declaration,39,@DisabledOnOs(OS.WINDOWS),added annotation,@Ignored and forgot. Refactored and modified code although ignored. (Motivating example that require ignoring test is anti pattern and require some suggestions),[forgotten @Ignored],IGNORED,BUG-AD-HOC
camel,711f29dbc47573da293132496afe348e55448bfa,Add Method Annotation,Add Method Annotation @BeforeEach in method public setUp() : void from class org.apache.camel.component.ahc.ws.WsProducerTestBase,73,public setUp() : void,original method declaration,77,@BeforeEach,added annotation,"During milestone prior to release dev ignores test due to unknown cause. However, forgotten.",[Flaky -> @Ignored] [forgotten],IGNORED,FLAKY-AD-HOC
Openfire,fd7dc905f37784ff2cf4bee44d13921353635a06,Add Method Annotation,Add Method Annotation @Ignore in method public testPerformanceDatatypeConvertVsXMPPDateFormat() : void from class org.jivesoftware.openfire.handler.IQEntityTimeHandlerTest,50,public testPerformanceDatatypeConvertVsXMPPDateFormat() : void,original method declaration,51,@Ignore,added annotation,Ignores for now. Ad-hoc.,[ad-hoc @Ignored],IGNORED,BUG-AD-HOC
camel,e03f5d5ca956300a29446ffe3a88d6ef5520d2ca,Add Class Annotation,"Add Class Annotation @Ignore(""Requires a running Kubernetes Cluster"") in class org.apache.camel.component.kubernetes.consumer.KubernetesServicesConsumerTest",40,org.apache.camel.component.kubernetes.consumer.KubernetesServicesConsumerTest,original class declaration,41,"@Ignore(""Requires a running Kubernetes Cluster"")",added annotation,@Ignored because it doesn't run reliable on all platform,[Flaky -> @Ignored],IGNORED,FLAKY - OS DEPENDENT
camel,afae5862cbf2e726903268409557b804aed85245,Add Method Annotation,Add Method Annotation @BeforeEach in method public setUp() : void from class org.apache.camel.component.cmis.CMISQueryProducerTest,33,public setUp() : void,original method declaration,36,@BeforeEach,added annotation,some tests cannot be tested on specific aix. Migration to Junit 5 allows use of annotation.,[Migrate Junit 5 -> Conditional @Ignored],IGNORED,FLAKY - OS DEPENDENT
camel,23c08628a11ac36fb418ebad7ac3f659f60f74db,Add Class Annotation,"Add Class Annotation @Disabled(""Run this test manual as it requires online internet"") in class org.apache.camel.component.ahc.AhcGoogleTest",24,org.apache.camel.component.ahc.AhcGoogleTest,original class declaration,27,"@Disabled(""Run this test manual as it requires online internet"")",added annotation,@Ignored because dependent on external resource.,[External Dependency -> @Ignored],IGNORED,FLAKY - EXTERNAL RESOURCE
hbase,642273bc2a5a415eba6f1592a439a6b2b53a70a9,Add Method Annotation,"Add Method Annotation @Ignore(""Hangs on occasion; see HBASE-14430"") in method public testCreatedServerIsNotAlive() : void from class org.apache.hadoop.hbase.http.TestHttpServerLifecycle",42,public testCreatedServerIsNotAlive() : void,original method declaration,49,"@Ignore(""Hangs on occasion; see HBASE-14430"")",added annotation,"Ignored due to external dependency, though hard to reproduce at the moment. Bug report shown as unresolved, but patch available for work.",[External Dependency -> @Ignored],IGNORED,FLAKY - EXTERNAL RESOURCE
camel,cc1edc915b85cda9a37b677d9321a7dc8fd25f31,Add Class Annotation,"Add Class Annotation @Ignore(""Manual test"") in class org.apache.camel.component.file.stress.FileProducerAppendManyMessagesFastTest",29,org.apache.camel.component.file.stress.FileProducerAppendManyMessagesFastTest,original class declaration,33,"@Ignore(""Manual test"")",added annotation,@Ignored to test manually since it relies on internet.,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,821ba0e28e4b13cc74cac31d7322c6650804b7fe,Add Method Annotation,Add Method Annotation @AfterEach in method public tearDown() : void from class org.apache.camel.component.beanstalk.BeanstalkMockTestSupport,46,public tearDown() : void,original method declaration,45,@AfterEach,added annotation,manual testing,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,cf76f69a56de030d03cbed89956704a954d3945e,Add Method Annotation,Add Method Annotation @BeforeEach in method public setUp() : void from class org.apache.camel.component.file.remote.FtpProducerExpressionTest,39,public setUp() : void,original method declaration,43,@BeforeEach,added annotation,@Ignore to test manually because Memory leakage is tough to test as you don't know whether it will fail or pass fast. They manually test is using IDEA.,[Memory leakage -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,cf76f69a56de030d03cbed89956704a954d3945e,Add Method Annotation,Add Method Annotation @BeforeEach in method public setUp() : void from class org.apache.camel.component.file.remote.manual.FtpConsumerNotStepwiseCamelRecursiveToAbsoluteManualTest,28,public setUp() : void,original method declaration,31,@BeforeEach,added annotation,manual test (need to start activeMQ manually prior to testing),[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,f0376e360ee02f86525bf4a673566ab4cf976180,Modify Class Annotation,Modify Class Annotation @RunWith(PowerMockRunner.class) to @RunWith(MockitoJUnitRunner.class) in class org.apache.camel.component.docker.consumer.DockerEventsConsumerTest,39,@RunWith(PowerMockRunner.class),original annotation,38,@RunWith(MockitoJUnitRunner.class),modified annotation,Ignored test because it requires external dependency to start.,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,ea72903d404a976002c3ba0234af7ee0cc04c795,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.camel.component.kubernetes.cluster.utils.LockTestServerTest,33,@Ignore,deleted annotation,29,org.apache.camel.component.kubernetes.cluster.utils.LockTestServerTest,class declaration with removed annotation,Manual test because it requires internet,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,2a9a4c36a61a56a9f49c50698e3d7fa1008afbd0,Add Class Annotation,"Add Class Annotation @Ignore(""This test is flaky on CI server"") in class org.apache.camel.component.xmpp.XmppRouteChatTest",25,org.apache.camel.component.xmpp.XmppRouteChatTest,original class declaration,29,"@Ignore(""This test is flaky on CI server"")",added annotation,@Ignore tests that is manually tested due to external dep,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,f361fb772593dfc79cc9150eda341a85a15f4c00,Add Class Annotation,"Add Class Annotation @Ignore(""Cannot run on CI servers so run manually"") in class org.apache.camel.catalog.maven.MavenArtifactProviderTest",30,org.apache.camel.catalog.maven.MavenArtifactProviderTest,original class declaration,31,"@Ignore(""Cannot run on CI servers so run manually"")",added annotation,@Ignore test to run manually,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,9ee2b2a6e4907e9bc7c66a1364c9d8d4d62c46b5,Add Class Annotation,"Add Class Annotation @Ignore(""fix me"") in class org.apache.camel.component.mina2.Mina2ClientModeTcpTextlineDelimiterTest",32,org.apache.camel.component.mina2.Mina2ClientModeTcpTextlineDelimiterTest,original class declaration,33,"@Ignore(""fix me"")",added annotation,@Ignore test to run manually,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,ee55a3bc6e04fea54bd30cc1d3926020ea024661,Modify Class Annotation,Modify Class Annotation @RunWith(Parameterized.class) to @RunWith(ParallelParameterized.class) in class org.apache.camel.component.salesforce.ApprovalIntegrationTest,34,@RunWith(Parameterized.class),original annotation,35,@RunWith(ParallelParameterized.class),modified annotation,Test ignored because manual testing required,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
camel,4c1c3b9ac5061013fb66526d5a64297cc8229e44,Add Method Annotation,"Add Method Annotation @Ignore(""Not all JDKs have provider to verify this key"") in method public testVerifySignatureInvalidValueException() : void from class org.apache.camel.component.xmlsecurity.XmlSignatureTest",733,public testVerifySignatureInvalidValueException() : void,original method declaration,734,"@Ignore(""Not all JDKs have provider to verify this key"")",added annotation,@Ignored while implementing new feature. Ignored until dev ready to work on it.,[Feature Addition -> @Ignored],IGNORED,NEW FEATURE
camel,1b9a99aa45064e87f4a29d7a60e792961600fef6,Add Method Annotation,Add Method Annotation @AfterEach in method public restoreLanguage() : void from class org.apache.camel.component.bean.validator.BeanValidatorRouteTest,41,public restoreLanguage() : void,original method declaration,48,@AfterEach,added annotation,RFT @Ignored for certain JDK,[External Dependency -> @Ignored],IGNORED,FLAKY - JDK DEPENDENT
camel,39413077db8e41626252131e6c81e710f452ab81,Add Method Annotation,Add Method Annotation @Before in method public setUp() : void from class org.apache.camel.builder.PredicateBinaryCoerceTypeTest,192,protected setUp() : void,original method declaration,206,@Before,added annotation,"flaky test is difficult to fix (failing in JDK7, thus ignored forever)",[Flaky -> @Ignored] [Forgotten],IGNORED,FLAKY - JDK DEPENDENT
camel,aec78be72ebcc758dda4ce086fa88148ca4933f4,Remove Method Annotation,Remove Method Annotation @Ignore in method public testDeleteUser() : void from class org.apache.camel.component.box.BoxUsersManagerIntegrationTest,142,@Ignore,deleted annotation,154,public testDeleteUser() : void,method declaration with removed annotation,Initially ignored due to java 7,[External Dependency -> @Ignored],IGNORED,FLAKY - JDK DEPENDENT
camel,542e54d284178c92bda2fa17c3ee5796f5020fa9,Add Class Annotation,"Add Class Annotation @Ignore(""Flaky on CI server"") in class org.apache.camel.itest.cxf.CamelCxfBeanInjectTest",45,org.apache.camel.itest.cxf.CamelCxfBeanInjectTest,original class declaration,47,"@Ignore(""Flaky on CI server"")",added annotation,"@Ignored due to flaky in CI server / However, junit 4 migration and other tool automation does not know that this is ignored and forgotten.",[Flaky -> @Ignored] [forgotten],IGNORED,FLAKY - CI SERVER
camel,4895d79e9bca4429e2c6636b22e6834a0aa7b5ac,Add Class Annotation,Add Class Annotation @ExtendWith(MockitoExtension.class) in class org.apache.camel.component.aws2.firehose.KinesisFirehoseEndpointTest,33,org.apache.camel.component.aws2.firehose.KinesisFirehoseEndpointTest,original class declaration,33,@ExtendWith(MockitoExtension.class),added annotation,@ignored due to flaky test on CI server,[Flaky -> @Ignored],IGNORED,FLAKY - CI SERVER
flink,e94ec4feafd15ee0562ae1f711f2f19b3d3d85f6,Modify Method Annotation,Modify Method Annotation @Test(timeout = 120 * 1000) to @Test in method public testBasicGetNextLogic() : void from class org.apache.flink.runtime.io.network.partition.consumer.SingleInputGateTest,83,@Test(timeout = 120 * 1000),original annotation,83,@Test,modified annotation,Increase timeout due to unstable CI,[Flaky -> @Ignored] [forgotten],IGNORED,FLAKY - CI SERVER
camel,c789e1f6b09b57d1b0882268ebbe8fecfa9c05b2,Remove Method Annotation,"Remove Method Annotation @Ignore(""CAMEL-12104"") in method public testTimeout() : void from class org.apache.camel.component.cxf.CxfConsumerContinuationTimeoutTest",117,"@Ignore(""CAMEL-12104"")",deleted annotation,115,public testTimeout() : void,method declaration with removed annotation,ignored failed test due to port address already in use,[Bug -> @Ignored],IGNORED,BUG - HTTP
camel,d09888f57300b46cdc470d587d3362e48a6dd83d,Add Class Annotation,"Add Class Annotation @Ignore(""Fails on CI server"") in class org.apache.camel.component.swagger.DefaultCamelSwaggerServletTest",28,org.apache.camel.component.swagger.DefaultCamelSwaggerServletTest,original class declaration,28,"@Ignore(""Fails on CI server"")",added annotation,@Ignored due test failure from external dependency,[External Dependency -> @Ignored],IGNORED,BUG - EXTERNAL DEPENDENCY FAILURE
camel,edc208d0ae3aad80b3e97bf5b13d11a62be770fe,Add Method Annotation,Add Method Annotation @AfterEach in method public tearDown() : void from class org.apache.camel.component.mongodb.AbstractMongoDbTest,73,public tearDown() : void,original method declaration,77,@AfterEach,added annotation,"uses automation to add @Override, but this class is actually ignored. But, dev do not realize it. Maybe we can suggest ignored tests.",[Forgotten @Ignored],IGNORED,BUG - FORGOTTEN
cassandra,484d2816940cd2eb22d2365fcb376dd27e059e2e,Add Class Annotation,Add Class Annotation @RunWith(OrderedJUnit4ClassRunner.class) in class org.apache.cassandra.db.RecoveryManagerTest,38,org.apache.cassandra.db.RecoveryManagerTest,original class declaration,40,@RunWith(OrderedJUnit4ClassRunner.class),added annotation,Junit doesn't have conditional @Ignore,[ Conditional @Ignored ],IGNORED,FLAKY - CI
flink,401615768934adb487692672e085c5e6a6048bae,Add Method Annotation,Add Method Annotation @Category(FailsOnJava11.class) in method public testCheckpointedStreamingClassloaderJobWithCustomClassLoader() : void from class org.apache.flink.test.classloading.ClassLoaderITCase,199,public testCheckpointedStreamingClassloaderJobWithCustomClassLoader() : void,original method declaration,202,@Category(FailsOnJava11.class),added annotation,"@Ignored due to unknown failure. Then, thought to fix, but occurs again once, but left unignored and issue is closed.",[ad-hoc @Ignored],IGNORED,FLAKY - UNKNOWN
flink,0bc2cf9b479a4430ebc895c4c6db54d2a7f601dc,Add Method Annotation,Add Method Annotation @RetryOnFailure(times = 1) in method public testWikipediaEditsSource() : void from class org.apache.flink.streaming.connectors.wikiedits.WikipediaEditsSourceTest,43,public testWikipediaEditsSource() : void,original method declaration,60,@RetryOnFailure(times = 1),added annotation,"Describes a flaky scenario, but ignored since 2015",[flaky -> @Ignored],IGNORED,FLAKY - UNKNOWN
flink,2b7a8d6846d7e5f03819a9ac6cfbd42e9bd72476,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.flink.test.query.QueryableStateITCase,95,org.apache.flink.test.query.QueryableStateITCase,original class declaration,96,@Ignore,added annotation,"Some runner may try to run this class as test, thus @Ignored. Why?",[Not a test -> @Ignored],IGNORED,FEATURE IMPROVEMENT
flink,ba61b191723c39ccb6622845ee8dea42d7946735,Add Class Annotation,Add Class Annotation @RunWith(PowerMockRunner.class) in class org.apache.flink.streaming.connectors.kafka.internal.KafkaConsumerThreadTest,60,org.apache.flink.streaming.connectors.kafka.internal.KafkaConsumerThreadTest,original class declaration,77,@RunWith(PowerMockRunner.class),added annotation,@Ignored until new feature finished,[Feature Addition -> @Ignored],IGNORED,FEATURE ADDITION
